09045185,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045185,"Dorfplatz 2–9, 12–21
Glienicker Straße 517/519, 523/527
","Dorfanger Bohnsdorf
Baudenkmale siehe: Dorfplatz, Dorfkirche; 3; 7; 8; 9",Weitere Bestandteile des Ensembles:,52.399093,13.555949,""
09060112,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009060112,"Richterstraße 4–5
Am Falkenberg 1-5
",Villa,"Turmvilla mit Weinkeller, 1878, Umbau um 1890 (siehe Gartendenkmal Am Falkenberg 1...)",52.411029,13.571682,""
09045277,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045277,"Gartenstadtweg 15–66, 68/72, 74–99
Am Falkenberg 118–120
Akazienhof 1–26
",Gartenstadt Falkenberg,"Gartenstadtweg, 1913–15 von Bruno Taut (siehe Gartendenkmal Gartenstadtweg 15–66, …)",52.410438,13.566064,""
09045249,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045249,"Buntzelstraße 3
",Villa,4. Viertel 19.Jh.,52.410581,13.572936,""
09045250,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045250,"Buntzelstraße 11–13
","Wohnhaus mit Einfriedung, Teehaus und Brunnen",1906 und 1916 von Ludwig Witthöft (siehe Gartendenkmal Buntzelstraße 11–13),52.409559,13.573696,""
09045194,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045194,"Dorfplatz
",Dorfkirche Bohnsdorf,"1755–57 von Johann Friedrich Lehmann, Erweiterung 1888, Erneuerung der Turmspitze 1937–38 von Otto Risse (siehe Ensemble Dorfplatz 29 …)",52.399619,13.556146,""
09045206,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045206,"Dorfplatz 3
","Bauernhaus, Scheune, Ställe und Hofpflasterung","Bauernhaus, um 1885",52.398736,13.554463,""
09045189,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045189,"Dorfplatz 7
","Bauernhaus mit Ställen, Scheune und Hofpflasterung","Bauernhaus, um 1885(siehe Ensemble Dorfplatz 2–9 …)",52.398852,13.555856,""
09045191,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045191,"Dorfplatz 8
",Stall,um 1885 (siehe Ensemble Dorfplatz 2–9 …),52.399268,13.556394,""
09045193,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045193,"Dorfplatz 9
",Stall,um 1850 (siehe Ensemble Dorfplatz 2–9 …),52.399268,13.556546,""
09045285,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045285,"Reihersteg 36/38
",Ev. Gemeindezentrum Paul Gerhard,1936–37 von Otto Risse,52.394825,13.576961,""
09045286,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045286,"Richterstraße 6
","Vorwerk Falkenberg, Gutshaus mit Gartenanlage","1758 (?), Erweiterung um 1870",52.410142,13.571633,""
09046092,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009046092,"Am Falkenberg 1–3
Gellertstraße 16/30, Radickestraße 62/66, Schneckenburger Straße 2/8
",Villengarten,4.Viertel 19. Jh. (siehe Gesamtanlage Richterstraße 4-5...),52.410897,13.571248,""
09097200,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009097200,"Buntzelstraße 11–13
Gründerstraße 22–24
",Landhausgarten,"1906–07, 1914–20, 1934 von Ludwig Witthöft (siehe Baudenkmal Buntzelstraße 11–13)",52.409528,13.573958,""
09046093,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009046093,"Gartenstadtweg 15–66, 68/72, 74–99
Akazienhof 1–26, Am Falkenberg 118–120
",Freiflächen der Gartenstadt Falkenberg (Tuschkastensiedlung),"1913-15 von Ludwig Lesser (siehe Gesamtanlage Gartenstadtweg 15–66, …)",52.410438,13.566064,""
